_id,name,pos_id
aceclo-sera-tablet-10-s,Aceclo Sera Tablet 10-S,7496
acelostat-p-tablet-10-s,ACELOSTAT P Tablet 10-s,100241
acemiz-plus-tablet-10-s,Acemiz Plus Tablet 10-S,101351
acemiz-s-tablet-10-s,Acemiz S Tablet 10-S,101353
acenac-p-tablet-10-s,Acenac P Tablet 10-S,7828
acenac-sp-tablet-10-s,Acenac SP Tablet 10-S,102871
acenac-sr-tablet-10-s,Acenac SR Tablet 10-S,7831
acendol-r-capsule-10-s,ACENDOL R Capsule 10-s,105091
acenext-p-tablet-10-s,Acenext P Tablet 10-S,110277
acera-20mg-capsule-10-s,Acera 20mg Capsule 10-S,31806
acera-d-capsule-10-s,Acera D Capsule 10-S,8428
acera-l-capsule-10-s,Acera L Capsule 10-S,40036
aceron-tc-tablet-10-s,Aceron TC Tablet 10-S,93256
acetik-ear-drops-10ml,ACETIK Ear Drops 10ml,104809
acetik-hc-ear-drops-10ml,ACETIK HC Ear Drops 10ml,104810
aciban-40mg-tablet-10-s,Aciban 40mg Tablet 10-S,4801
acidart-75-20mg-capsule-10-s,Acidart 75/20mg Capsule 10-S,106198
acidol-sp-tablet-10-s,ACIDOL SP Tablet 10-s,98955
aciloc-150mg-tablet-30-s,Aciloc 150mg Tablet 30-S,5800
aciloc-300mg-tablet-20-s,Aciloc 300mg Tablet 20-S,5801
acinil-o-refreshing-mint-flavour-sugar-free-suspension-120ml,Acinil O Refreshing Mint Flavour Sugar Free Suspension 120ml,6101
acivir-cream-10gm,ACIVIR Cream 10gm,37804
acivir-dt-400mg-tablet-5-s,Acivir DT 400mg Tablet 5-S,37802
acivir-dt-800mg-tablet-5-s,Acivir DT 800mg Tablet 5-S,37803
acnestar-s-soap-75gm,Acnestar S Soap 75gm,25609
acnil-soap-75gm,Acnil Soap 75gm,90028
acnovate-gel-15gm,Acnovate Gel 15gm,90479
acogut-er-300-tablet-10-s,ACOGUT ER 300 Tablet 10-s,107701
actilife-dia-new-pack-sugar-free-vanilla-flavour-powder-200gm,ACTILIFE DIA NEW PACK SUGAR FREE VANILLA FLAVOUR Powder 200gm,107681
actilife-liquid-200ml,Actilife Liquid 200ml,97862
actilife-mom-new-pack-vanilla-flavour-powder-200gm,Actilife Mom NEW PACK VANILLA FLAVOUR Powder 200gm,103866
actilife-pro-vanilla-flavour-powder-200gm,Actilife Pro Vanilla Flavour Powder 200gm,103694
actilife-tablet-15-s,Actilife Tablet 15-S,29717
acton-or-tablet-10-s,Acton OR Tablet 10-S,107249
acucal-tablet-10-s,Acucal Tablet 10-S,5580
acular-ls-ophthalmic-solution-5ml,ACULAR LS Ophthalmic Solution 5ml,9823
acuvert-5mg-tablet-9-s,Acuvert 5mg Tablet 9-S,6246
adalene-nano-gel-15gm,Adalene Nano Gel 15gm,95145
adapnil-gel-15gm,Adapnil Gel 15gm,92273
adcapone-tablet-10-s,Adcapone Tablet 10-S,97559
addyzoa-capsule-20-s,Addyzoa Capsule 20-S,11909
adeb-t-capsule-10-s,Adeb T Capsule 10-S,90046
adeb-t-syrup-200ml,ADEB T Syrup 200ml,18268
adesam-200mg-tablet-10-s,Adesam 200mg Tablet 10-S,97546
adesam-400mg-tablet-10-s,Adesam 400mg Tablet 10-S,97547
adgain-plus-capsule-10-s,Adgain Plus Capsule 10-S,18663
adliv-syrup-200ml,Adliv Syrup 200ml,90378
advent-drops-10ml,Advent Drops 10ml,45603
advog-m-0-2+-tablet-10-s,Advog M 0.2+ Tablet 10-S,30498
advog-m-0-3+-tablet-10-s,ADVOG M 0.3+ Tablet 10-s,30499
aerocort-inhaler-200mdi,Aerocort Inhaler 200Mdi,1695
aeromont-b-tablet-10-s,AEROMONT B Tablet 10-s,109817
afderm-mn-+-cream-15gm,AFDERM MN + Cream 15gm,107737
afenak-plus-tablet-10-s,Afenak Plus Tablet 10-S,108230
afoglip-m-500-tablet-15-s,AFOGLIP M 500 Tablet 15-s,97633
ageless-tablet-10-s,Ageless Tablet 10-S,94914
agog-od-capsule-10-s,Agog OD Capsule 10-S,95259
aim7-30-xr-tablet-15-s,Aim7 30 XR Tablet 15-S,103720
aim7-60-xr-tablet-15-s,Aim7 60 XR Tablet 15-S,103721
air-m-tablet-10-s,AIR M Tablet 10-s,105721
aircef-o-tablet-10-s,AIRCEF O Tablet 10-s,41619
airz-f-capsule-30-s,AIRZ F Capsule 30-s,106109
aisa-tablet-10-s,Aisa Tablet 10-S,12525
alafin-tablet-10-s,Alafin Tablet 10-S,91266
alamin-forte-capsule-10-s,Alamin Forte Capsule 10-S,93897
alaspan-am-tablet-10-s,Alaspan AM Tablet 10-S,6532
albunil-tablet-10-s,Albunil Tablet 10-S,91267
alcaft-eye-drops-5ml,ALCAFT Eye Drops 5ml,105384
alcarex-kt-eye-drops-5ml,ALCAREX KT Eye Drops 5ml,104784
alcon-drops-15ml,Alcon Drops 15ml,22104
alcon-plus-tablet-10-s,Alcon Plus Tablet 10-S,22100
alcon-syrup-60ml,Alcon Syrup 60ml,22102
aldactone-f-tablet-10-s,ALDACTONE F Tablet 10-s,109456
aldigesic-p-tablet-15-s,Aldigesic P Tablet 15-S,101323
aldigesic-sp-tablet-10-s,Aldigesic SP Tablet 10-S,109186
aldry-lotion-150gm,Aldry Lotion 150gm,93461
alex-+-peadiatric-drops-15ml,Alex + Peadiatric Drops 15ml,17147
alex-p-syrup-60ml,Alex P Syrup 60ml,6960
algesia-cr-capsule-10-s,ALGESIA CR Capsule 10-s,108967
alkof-+syrup-100ml,Alkof +Syrup 100ml,101554
alkof-dx-cough-syrup-100ml,Alkof DX Cough Syrup 100ml,107818
allerbio-capsule-10-s,Allerbio Capsule 10-S,103397
allerblis-m-tablet-10-s,ALLERBLIS M Tablet 10-s,109224
allercet-cold-syrup-60ml,Allercet Cold Syrup 60ml,100495
allerone-m-syrup-60ml,ALLERONE M Syrup 60ml,107498
almox-dt-250mg-tablet-10-s,Almox DT 250mg Tablet 10-S,101329
aloesof-cream-60gm,Aloesof Cream 60gm,100231
alphacept-4-tablet-15-s,ALPHACEPT 4 Tablet 15-s,99090
alphacept-d8-tablet-10-s,ALPHACEPT D8 Tablet 10-s,99093
alphagan-z-ophthalmic-solution-5ml,ALPHAGAN Z Ophthalmic Solution 5ml,9835
alsody-capsule-10-s,Alsody Capsule 10-S,94216
althrocin-liquid-60ml,Althrocin Liquid 60ml,4107
altraday-capsule-10-s,Altraday Capsule 10-S,871
amaryl-m-1mg-tablet-20-s,AMARYL M 1mg Tablet 20-s,3261
ambrolite-d-sf-syrup-100ml,AMBROLITE D SF Syrup 100ml,106981
ambrolite-d-syrup-100ml,Ambrolite D Syrup 100ml,97716
ambrolite-d-syrup-60ml,Ambrolite D Syrup 60ml,97715
ambrolite-s-syrup-100ml,Ambrolite S Syrup 100ml,9911
amfirst-at-tablet-15-s,AMFIRST AT Tablet 15-s,96869
amicet-tablet-10-s,Amicet Tablet 10-S,109020
aminorich-capsule-15-s,Aminorich Capsule 15-S,5051
amlo-cb-2-5mg-tablet-10-s,Amlo CB 2.5mg Tablet 10-S,105392
amlo-cb-5mg-tablet-10-s,Amlo CB 5mg Tablet 10-S,105393
amlokind-beta-25-tablet-10-s,AMLOKIND BETA 25 Tablet 10-s,105638
amlokind-beta-50-tablet-10-s,AMLOKIND BETA 50 Tablet 10-s,105639
amlong-5mg-tablet-15-s,Amlong 5mg Tablet 15-S,2621
amlong-mt-50mg-tablet-7-s,Amlong MT 50mg Tablet 7-S,2586
amlong-trio-tablet-10-s,AMLONG TRIO Tablet 10-s,109584
amlopres-2-5mg-tablet-15-s,Amlopres 2.5mg Tablet 15-S,1724
amlopres-at-25mg-tablet-15-s,Amlopres AT 25mg Tablet 15-S,18612
amlovas-5mg-tablet-15-s,Amlovas 5mg Tablet 15-S,2300
amlovas-m-2-5-25mg-tablet-10-s,Amlovas M 2.5/25mg Tablet 10-S,2976
amlovas-m-5-50mg-tablet-10-s,Amlovas M 5/50mg Tablet 10-S,2582
amlovas-xm-5-50mg-tablet-10-s,Amlovas XM 5/50mg Tablet 10-S,44545
amlozaar-50mg-tablet-10-s,Amlozaar 50mg Tablet 10-S,2668
amlozaar-h-tablet-10-s,Amlozaar H Tablet 10-S,20903
amoxyclav-625mg-tablet-10-s,Amoxyclav 625mg Tablet 10-S,110027
ampiclox-capsule-10-s,AMPICLOX Capsule 10-s,101330
ampilox-c-500mg-injection-1-s,Ampilox C 500mg Injection 1-s,32960
ampilox-c-dry-syrup-60ml,Ampilox C Dry Syrup 60ml,4074
ampilox-cv-dds-syrup-30ml,AMPILOX CV DDS Syrup 30ml,98344
amplinak-ophthalmic-suspension-5ml,Amplinak Ophthalmic Suspension 5ml,100979
amrfy-cream-30gm,AMRFY Cream 30gm,107526
amrobrut-cream-25gm,AMROBRUT Cream 25gm,105035
anaflam-gel-20gm,Anaflam Gel 20gm,21300
anaflam-th-8mg-tablet-10-s,Anaflam TH 8mg Tablet 10-S,34528
anaflam-xp-tablet-10-s,Anaflam XP Tablet 10-S,34504
anafortan-drops-10ml,Anafortan Drops 10ml,4404
analiv-500mg-tablet-10-s,Analiv 500mg Tablet 10-S,40812
ancool-sf-suspension-200ml,Ancool SF Suspension 200ml,96540
ancool-sugar-free-suspension-syrup-170ml,Ancool Sugar Free Suspension Syrup 170ml,4124
androanagen-tablet-10-s,Androanagen Tablet 10-S,30226
androfol-m-tablet-10-s,Androfol M Tablet 10-S,92289
antoxid-capsule-30-s,Antoxid Capsule 30-S,2500
antoxipan-tablet-15-s,Antoxipan Tablet 15-S,102506
antoxyl-forte-capsule-10-s,Antoxyl Forte Capsule 10-S,9930
antoxyl-syrup-200ml,ANTOXYL Syrup 200ml,109163
anziolet-a-75mg-tablet-15-s,Anziolet A 75mg Tablet 15-S,103723
apcod-max-sachet-5gm,APCOD MAX Sachet 5gm,104649
apcod-softule-10-s,APCOD Softule 10-s,108769
apdrops-dm-eye-drops-5ml,Apdrops DM Eye Drops 5ml,94281
apdrops-pd-eye-drops-10ml,Apdrops PD Eye Drops 10ml,13637
apexfer-suspension-150ml,APEXFER Suspension 150ml,109973
apexitra-100mg-capsule-10-s,APEXITRA 100mg Capsule 10-s,106097
apexitra-200-capsule-10-s,APEXITRA 200 Capsule 10-s,105531
apexitra-sb-130-capsule-10-s,APEXITRA SB 130 Capsule 10-s,101178
aprezo-10-tablet-4-s,APREZO 10 Tablet 4-s,100883
aquadol-spas-injection-1ml,AQUADOL SPAS Injection 1ml,109471
aquasoft-max-intensive-moisturising-lotion-200ml,AQUASOFT MAX INTENSIVE MOISTURISING Lotion 200ml,109588
aquasoft-max-new-intensive-moisturising-cream-100gm,AQUASOFT MAX NEW INTENSIVE MOISTURISING Cream 100gm,97868
aquasoft-moisturising-lotion-100ml,Aquasoft Moisturising Lotion 100ml,13607
aquasoft-moisturising-lotion-200ml,Aquasoft Moisturising Lotion 200ml,13762
aquasoft-s-syndet-bar-75gm,AQUASOFT S Syndet Bar 75gm,98240
aquasol-a-capsule-30-s,Aquasol A Capsule 30-S,13765
arachitol-3lac-injection-6x1ml,Arachitol 3Lac Injection 6X1Ml,6226
arachitol-6lac-injection-6x1ml,Arachitol 6Lac Injection 6X1Ml,6224
arachitol-kids-400iu-pineapple-flavour-oral-solution-15ml,Arachitol Kids 400IU Pineapple Flavour Oral Solution 15ml,97136
arachitol-nano-daily-2k-iu-sugar-free-oral-solution-150ml,Arachitol Nano Daily 2K IU Sugar Free Oral Solution 150ml,107572
arachitol-orange-flavour-gummies-30-s,ARACHITOL ORANGE FLAVOUR Gummies 30-s,109514
arbitel-h-40mg-tablet-10-s,Arbitel H 40mg Tablet 10-S,22551
arets-tablet-10-s,ARETS Tablet 10-s,108803
arflur-3d-tablet-10-s,Arflur 3D Tablet 10-S,104429
arflur-p-tablet-10-s,Arflur P Tablet 10-S,104430
argihope-tablet-10-s,Argihope  Tablet 10-S,95401
argipreg-sugar-free-with-improved-flavour-sachet-6-5gm,Argipreg Sugar Free with Improved Flavour Sachet 6.5gm,17221
argirich-granules-7-5gm,Argirich Granules 7.5gm,5067
arip-mt-2-tablet-15-s,ARIP MT 2 Tablet 15-s,106229
aristozyme-gold-tablet-10-s,ARISTOZYME GOLD Tablet 10-s,107849
aristozyme-pineapple-flavoured-liquid-200ml,Aristozyme PINEAPPLE FLAVOURED Liquid 200ml,7424
ark-gel-30gm,ARK Gel 30gm,29743
arlin-oil-100ml,Arlin Oil 100ml,4505
arlin-oil-50ml,Arlin Oil 50ml,4503
arminol-20mg-tablet-10-s,Arminol 20mg Tablet 10-S,92650
arolac-powder-45gm,Arolac Powder 45gm,3602
articlor-125mg-dry-syrup-30ml,Articlor 125mg Dry Syrup 30ml,41400
arzep-nasal-spray-10ml,Arzep Nasal Spray 10ml,105585
asar-ct-40-12-5mg-tablet-10-s,Asar CT 40/12.5mg Tablet 10-S,101281
ascazin-syrup-70ml,Ascazin Syrup 70ml,29763
ascoril-+-expectorant-120ml,Ascoril + Expectorant 120ml,6900
ascoril-+-ginger-lemon-flavour-expectorant-120ml,ASCORIL + GINGER LEMON FLAVOUR Expectorant 120ml,107602
ascoril-+-honey-rose-flavour-expectorant-120ml,ASCORIL + HONEY ROSE FLAVOUR Expectorant 120ml,107601
ascoril-flu-syrup-60ml,Ascoril Flu Syrup 60ml,96702
ascoril-ls-junior-expectorant-100ml,ASCORIL LS JUNIOR Expectorant 100ml,109402
ase-digest-capsule-10-s,ASE DIGEST Capsule 10-s,110082
assurans-tablet-15-s,Assurans Tablet 15-S,45605
asthakind-dx-junior-cherry-flavour-syrup-60ml,ASTHAKIND DX JUNIOR CHERRY FLAVOUR Syrup 60ml,108473
asthalin-dx-syrup-100ml,Asthalin DX Syrup 100ml,102765
asthalin-respirator-solution-15ml,Asthalin Respirator Solution 15ml,1712
asthalin-rotacap-60-s,ASTHALIN Rotacap 60-s,1631
asthamon-l-tablet-10-s,Asthamon L Tablet 10-S,92657
astin-20mg-tablet-30-s,ASTIN 20mg Tablet 30-s,22520
astymin-c-drops-15ml,Astymin C Drops 15ml,9901
astymin-liquid-110ml,Astymin Liquid 110ml,7612
astymin-m-forte-capsule-30-s,ASTYMIN M FORTE Capsule 30-s,9918
astymin-new-liquid-200ml,Astymin NEW Liquid 200ml,7622
astymin-z-liquid-200ml,ASTYMIN Z Liquid 200ml,9952
ata-20-tablet-10-s,ATA 20 Tablet 10-s,109167
atchol-gold-10-capsule-15-s,ATCHOL GOLD 10 Capsule 15-s,110073
aten-h-25mg-tablet-10-s,Aten H 25mg Tablet 10-S,5985
atocor-20mg-tablet-15-s,ATOCOR 20mg Tablet 15-s,2471
atorfit-cv-20mg-capsule-15-s,ATORFIT CV 20mg Capsule 15-s,110424
atorfit-cv-gold-10-capsule-15-s,ATORFIT CV GOLD 10 Capsule 15-s,110423
atorlip-gold-10-capsule-10-s,ATORLIP GOLD 10 Capsule 10-s,106199
atorlip-gold-20-capsule-10-s,ATORLIP GOLD 20 Capsule 10-s,110330
atormac-tg-tablet-10-s,Atormac TG Tablet 10-S,2365
atorsave-cv-10mg-capsule-10-s,Atorsave CV 10mg Capsule 10-S,110579
atosta-10mg-tablet-10-s,Atosta 10mg Tablet 10-S,105395
atosta-20mg-tablet-10-s,Atosta 20mg Tablet 10-S,105396
atosta-5mg-tablet-10-s,Atosta 5mg Tablet 10-S,105394
atpark-50mg-tablet-14-s,Atpark 50mg Tablet 14-S,4946
augmed-625mg-tablet-6-s,AUGMED 625mg Tablet 6-s,110276
augmentin-625-duo-tablet-10-s,Augmentin 625 DUO Tablet 10-S,223
augmentin-dds-oral-suspension-30ml,AUGMENTIN DDS Oral Suspension 30ml,216
augmentin-es-suspension-50ml,AUGMENTIN ES Suspension 50ml,100001
augpen-625-bid-tablet-10-s,Augpen 625 Bid Tablet 10-S,46101
augpen-drops-10ml,Augpen Drops 10ml,103220
augpen-ds-bid-oral-suspension-30ml,Augpen DS Bid Oral Suspension 30ml,46103
augpen-hs-bid-suspension-30ml,AUGPEN HS BID Suspension 30ml,46102
auto-q-200-tablet-10-s,AUTO Q 200 Tablet 10-s,96737
autolyse-ointment-15gm,Autolyse Ointment 15gm,94545
autrin-xt-tablet-10-s,Autrin XT Tablet 10-S,104107
av-uti-sugar-free-suspension-200ml,AV UTI SUGAR FREE Suspension 200ml,104349
avanext-100-tablet-4-s,AVANEXT 100 Tablet 4-s,109013
avarta-lightening-under-eye-cream-10gm,Avarta Lightening Under Eye Cream 10gm,96531
axbex-tablet-15-s,Axbex Tablet 15-S,90390
azac-soap-75gm,Azac Soap 75gm,94169
azarid-50mg-tablet-10-s,Azarid 50mg Tablet 10-S,92664
azax-250mg-tablet-6-s,Azax 250mg Tablet 6-S,101355
azax-500mg-tablet-3-s,Azax 500mg Tablet 3-S,101356
azfex-m-tablet-10-s,Azfex M Tablet 10-S,106082
aziclass-200mg-syrup-30ml,Aziclass 200mg Syrup 30ml,103693
azilta-16-tablet-10-s,AZILTA 16 Tablet 10-s,109889
azilta-8-tablet-10-s,AZILTA 8 Tablet 10-s,109890
azilta-t-40-tablet-10-s,AZILTA T 40 Tablet 10-s,109891
azilta-t-80-tablet-10-s,AZILTA T 80 Tablet 10-s,109892
azithral-100mg-liquid-15ml,Azithral 100mg Liquid 15ml,4150
azithral-eye-ointment-5gm,AZITHRAL Eye Ointment 5gm,100782
aziwok-100mg-liquid-15ml,Aziwok 100mg Liquid 15ml,7761
aziwok-200-refreshing-mango-flavour-liquid-15ml,Aziwok 200 Refreshing Mango Flavour Liquid 15ml,7759
aziwok-250mg-tablet-10-s,Aziwok 250mg Tablet 10-S,7754
aziwok-500mg-tablet-5-s,Aziwok 500mg Tablet 5-S,7750
aziwok-600mg-tablet-5-s,Aziwok 600mg Tablet 5-S,104758
aziwok-xl-200mg-liquid-30ml,Aziwok XL 200mg Liquid 30ml,23820
azkacid-d-capsule-10-s,Azkacid D Capsule 10-S,106083
azkalax-s-tangy-orange-flavour-powder-100gm,Azkalax S Tangy Orange Flavour Powder 100gm,105434
azkavit-tablet-15-s,AZKAVIT Tablet 15-s,108370
azkera-tablet-10-s,AZKERA Tablet 10-s,105418
azmet-vg-1mg-tablet-10-s,Azmet VG 1mg Tablet 10-S,105653
azovas-t-80-tablet-10-s,AZOVAS T 80 Tablet 10-s,107716
azpro-chia-seeds-200gm,Azpro Chia Seeds 200gm,105433
aztel-40mg-tablet-10-s,AZTEL 40mg Tablet 10-s,105435
aztel-am-40mg-tablet-10-s,AZTEL AM 40mg Tablet 10-s,106190
aztel-mt-25mg-tablet-10-s,AZTEL MT 25mg Tablet 10-s,105438
aztel-mt-50mg-tablet-10-s,AZTEL MT 50mg Tablet 10-s,105439
aztel-trio-12-5mg-tablet-10-s,Aztel Trio 12.5mg Tablet 10-S,105440
azulix-mv-1-0-2mg-tablet-10-s,Azulix MV 1/0.2mg Tablet 10-S,102858
azulix-mv-1-0-3mg-tablet-10-s,Azulix MV 1/0.3mg Tablet 10-S,102859
azulix-mv-2-0-2mg-tablet-10-s,Azulix MV 2/0.2mg Tablet 10-S,102860
azulix-mv-2-0-3mg-tablet-10-s,Azulix MV 2/0.3mg Tablet 10-S,102861
azusa-16-tablet-10-s,AZUSA 16 Tablet 10-s,106056
azusa-8-tablet-10-s,AZUSA 8 Tablet 10-s,110061
azuvas-f-10mg-tablet-10-s,Azuvas F 10mg Tablet 10-S,110056
azuvas-f-20-tablet-10-s,AZUVAS F 20 Tablet 10-s,107458
azuvas-gold-10mg-capsule-10-s,Azuvas Gold 10mg Capsule 10-S,105443
b-aim-capsule-10-s,B Aim Capsule 10-S,43000
b-bact-ointment-5gm,B Bact Ointment 5gm,3578
b-fit-cd-tablet-10-s,B Fit CD Tablet 10-S,17543
b-long-f-tablet-30-s,B Long F Tablet 30-S,1824
b-long-tablet-30-s,B Long Tablet 30-S,1816
baby-mask-(cipla)-device-1-s,Baby Mask (Cipla) Device 1-s,1754
bactoclav-dt-tablet-10-s,Bactoclav DT Tablet 10-S,30600
baga-100-capsule-15-s,BAGA 100 Capsule 15-s,106123
baga-300-capsule-15-s,BAGA 300 Capsule 15-s,106125
baga-nt-tablet-15-s,BAGA NT Tablet 15-s,106124
bandy-suspension-10ml,BANDY Suspension 10ml,16406
bangshil-tablet-100-s,Bangshil Tablet 100-S,13302
barikind-4-tablet-14-s,BARIKIND 4 Tablet 14-s,108777
basaglar-kwikpen-injection-3ml,BASAGLAR KWIKPEN Injection 3ml,103516
basalog-100iu-injection-1x5ml,Basalog 100IU Injection 1X5ml,94822
basiton-forte-new-tablet-15-s,Basiton Forte New Tablet 15-S,6807
beat-hf-5-tablet-10-s,BEAT HF 5 Tablet 10-s,104944
becadexamin-capsule-30-s,Becadexamin Capsule 30-S,137
becelac-fortz-capsule-15-s,Becelac Fortz Capsule 15-S,378
becetab-tablet-10-s,Becetab Tablet 10-S,92292
becosules-capsule-20-s,Becosules Capsule 20-S,2000
becosules-performance-capsule-15-s,Becosules Performance Capsule 15-S,6347
becosules-plus-capsule-30-s,Becosules Plus Capsule 30-S,95298
becosules-syrup-120ml,Becosules Syrup 120ml,2001
becosules-women-capsule-15-s,Becosules Women Capsule 15-S,96911
becosules-z-capsule-20-s,Becosules Z Capsule 20-S,2005
becotrol-capsule-10-s,Becotrol Capsule 10-S,2099
becozac-tablet-10-s,BECOZAC Tablet 10-s,100244
becozinc-capsule-30-s,Becozinc Capsule 30-S,2507
becozinc-g-capsule-10-s,Becozinc G Capsule 10-S,94980
befer-tablet-10-s,Befer Tablet 10-S,95649
beipos-eye-drops-5ml,Beipos Eye Drops 5ml,105352
ben-q-met-tablet-10-s,BEN Q MET Tablet 10-s,41108
benalgis-100mg-tablet-10-s,Benalgis 100mg Tablet 10-S,6323
beneficiale-capsule-15-s,Beneficiale Capsule 15-S,12111
benfomet-capsule-10-s,Benfomet Capsule 10-S,100323
benfomet-plus-tablet-10-s,Benfomet Plus Tablet 10-S,97561
benistar-4mg-tablet-10-s,BENISTAR 4mg Tablet 10-s,109710
benistar-8mg-tablet-10-s,BENISTAR 8mg Tablet 10-s,109711
benuliv-tangy-orange-flavour-syrup-200ml,BENULIV TANGY ORANGE FLAVOUR Syrup 200ml,110237
benz-pearls-capsule-10-s,BENZ PEARLS Capsule 10-s,100456
benzac-ac-2-5-gel-30gm,BENZAC AC 2.5% Gel 30gm,851
benzac-ac-5-gel-30gm,BENZAC AC 5% Gel 30gm,852
benzonac-gel-15gm,Benzonac Gel 15gm,5041
beplex-forte-mono-injection-11ml,BEPLEX FORTE MONO Injection 11ml,108538
beplex-forte-plus-elixir-120ml,Beplex Forte Plus Elixir 120ml,6008
beplex-nu-capsule-10-s,Beplex Nu Capsule 10-s,104541
berocin-dz-tablet-10-s,BEROCIN DZ Tablet 10-s,22559
betacard-am-tablet-15-s,BETACARD AM Tablet 15-s,2296
betadine-ointment-20gm,BETADINE Ointment 20gm,3401
betadine-powder-10gm,Betadine Powder 10gm,3411
betadine-surgical-scrub-7-5-solution-500ml,Betadine Surgical Scrub 7.5% Solution 500ml,3418
betadine-surgical-scrub-7-5-solution-50ml,Betadine Surgical scrub 7.5% Solution 50ml,3420
betafree-eye-drops-5ml,Betafree Eye Drops 5ml,100501
betahans-8mg-tablet-15-s,BETAHANS 8mg Tablet 15-s,108415
betamet-er-25mg-tablet-10-s,Betamet Er 25Mg Tablet 10-s,90900
betgenta-cream-20gm,Betgenta Cream 20gm,92306
bethadoxin-12-syrup-220ml,BETHADOXIN 12 Syrup 220ml,4216
betoact-eye-drops-5ml,Betoact Eye Drops 5ml,98338
betonin-ast-sugar-free-syrup-200ml,Betonin Ast Sugar Free Syrup 200ml,4315
betonin-ast-sugar-free-syrup-400ml,BETONIN AST SUGAR FREE Syrup 400ml,4326
bevon-capsule-15-s,Bevon Capsule 15-S,46129
bevon-cd-capsule-10-s,Bevon CD Capsule 10-S,46106
bevon-drops-15ml,Bevon Drops 15ml,46105
bevon-suspension-200ml,Bevon Suspension 200ml,93720
bht-16mg-tablet-10-s,BHT 16mg Tablet 10-S,41006
bicarcid-tablet-10-s,Bicarcid Tablet 10-S,92316
bifilac-gg-capsule-10-s,BIFILAC GG Capsule 10-s,104028
bigomet-250mg-tablet-10-s,Bigomet 250mg Tablet 10-S,10559
bigomet-sr-1000-tablet-10-s,Bigomet SR 1000 Tablet 10-S,10529
bilafav-20-tablet-10-s,BILAFAV 20 Tablet 10-s,105191
bilafav-m-tablet-10-s,BILAFAV M Tablet 10-s,107634
bilagra-m-tablet-10-s,BILAGRA M Tablet 10-s,107736
bilahist-40-tablet-10-s,BILAHIST 40 Tablet 10-s,109437
bilahist-m-tablet-10-s,BILAHIST M Tablet 10-s,108751
bilalife-m-tablet-10-s,BILALIFE M Tablet 10-s,107272
bilamove-m-tablet-10-s,BILAMOVE M Tablet 10-s,106592
bilanix-forte-tablet-10-s,BILANIX FORTE Tablet 10-s,109172
bilanta-forte-tablet-10-s,BILANTA FORTE Tablet 10-s,109799
bilast-m-tablet-10-s,BILAST M Tablet 10-s,106769
bilazap-m-mango-flavour-suspension-60ml,BILAZAP M MANGO FLAVOUR Suspension 60ml,110359
bilazap-m-tablet-10-s,BILAZAP M Tablet 10-s,106593
bilazest-m-tablet-10-s,BILAZEST M Tablet 10-s,106597
